StateID,StateName,PlanID,AreaCode,InternationalPlan,VoiceMailPlan,NumberVMailMessages,DayUsageID,TotalDayMinutes,TotalDayCalls,TotalDayCharge,EveUsageID,TotalEveMinutes,TotalEveCalls,TotalEveCharge,NightUsageID,TotalNightMinutes,TotalNightCalls,TotalNightCharge,IntlUsageID,TotalIntlMinutes,TotalIntlCalls,TotalIntlCharge,CustomerServiceCalls,ChurnStatus
18,FL,18,415,No,No,0,18,155.1,117,26.37,18,239.7,93,20.37,18,208.8,133,9.4,18,10.6,4,2.86,0,False
19,CO,19,408,No,No,0,19,62.4,89,10.61,19,169.9,121,14.44,19,209.6,64,9.43,19,5.7,6,1.54,5,True
20,AZ,20,415,No,No,0,20,183.0,112,31.11,20,72.9,99,6.2,20,181.8,78,8.18,20,9.5,19,2.57,0,False
21,VA,21,510,No,No,0,21,81.1,86,13.79,21,245.2,72,20.84,21,237.0,115,10.67,21,10.3,2,2.78,0,False
22,NE,22,415,No,No,0,22,124.3,76,21.13,22,277.1,112,23.55,22,250.7,115,11.28,22,15.5,5,4.19,3,False
23,WY,23,408,No,Yes,39,23,213.0,115,36.21,23,191.1,112,16.24,23,182.7,115,8.22,23,9.5,3,2.57,0,False
24,MT,24,408,No,No,0,24,134.3,73,22.83,24,155.5,100,13.22,24,102.1,68,4.59,24,14.7,4,3.97,3,False
25,MO,25,415,No,No,0,25,190.0,109,32.3,25,258.2,84,21.95,25,181.5,102,8.17,25,6.3,6,1.7,0,False
26,IL,26,415,No,No,0,26,84.8,95,14.42,26,136.7,63,11.62,26,250.5,148,11.27,26,14.2,6,3.83,2,False
27,NH,27,510,No,No,0,27,226.1,105,38.44,27,201.5,107,17.13,27,246.2,98,11.08,27,10.3,5,2.78,1,False
28,LA,28,408,No,No,0,28,212.0,121,36.04,28,31.2,115,2.65,28,293.3,78,13.2,28,12.6,10,3.4,3,False
29,AZ,29,408,No,No,0,29,249.6,118,42.43,29,252.4,119,21.45,29,280.2,90,12.61,29,11.8,3,3.19,1,True
30,OK,30,408,No,Yes,25,30,176.8,94,30.06,30,195.0,75,16.58,30,213.5,116,9.61,30,8.3,4,2.24,0,False
31,GA,31,415,No,Yes,37,31,220.0,80,37.4,31,217.3,102,18.47,31,152.8,71,6.88,31,14.7,6,3.97,3,False
32,MA,32,415,No,No,0,32,130.8,64,22.24,32,223.7,116,19.01,32,227.8,108,10.25,32,10.0,5,2.7,1,False
33,AK,33,415,Yes,Yes,33,33,203.9,106,34.66,33,187.6,99,15.95,33,101.7,107,4.58,33,10.5,6,2.84,3,False
34,NJ,34,408,No,No,0,34,140.4,94,23.87,34,271.8,92,23.1,34,188.3,108,8.47,34,11.1,9,3.0,1,False
35,GA,35,408,No,No,0,35,126.3,102,21.47,35,166.8,85,14.18,35,187.8,135,8.45,35,9.4,2,2.54,3,False
36,MD,36,408,Yes,Yes,41,36,173.1,85,29.43,36,203.9,107,17.33,36,122.2,78,5.5,36,14.6,15,3.94,0,True
37,AR,37,510,No,No,0,37,124.8,82,21.22,37,282.2,98,23.99,37,311.5,78,14.02,37,10.0,4,2.7,2,False
38,ID,38,415,No,No,0,38,85.8,77,14.59,38,165.3,110,14.05,38,178.5,92,8.03,38,9.2,4,2.48,3,False
39,WI,39,510,No,No,0,39,154.0,67,26.18,39,225.8,118,19.19,39,265.3,86,11.94,39,3.5,3,0.95,1,False
40,OR,40,408,No,Yes,28,40,120.9,97,20.55,40,213.0,92,18.11,40,163.1,116,7.34,40,8.5,5,2.3,2,False
41,DE,41,408,No,No,0,41,187.0,133,31.79,41,134.6,74,11.44,41,242.2,127,10.9,41,7.4,5,2.0,2,False
42,WY,42,415,No,Yes,24,42,133.2,135,22.64,42,217.2,58,18.46,42,70.6,79,3.18,42,11.0,3,2.97,1,False
43,IA,43,408,No,No,0,43,191.9,108,32.62,43,269.8,96,22.93,43,236.8,87,10.66,43,7.8,5,2.11,3,False
44,IN,44,408,No,No,0,44,220.6,57,37.5,44,211.1,115,17.94,44,249.0,129,11.21,44,6.8,3,1.84,1,False
45,UT,45,415,No,No,0,45,160.2,117,27.23,45,267.5,67,22.74,45,228.5,68,10.28,45,9.3,5,2.51,2,False
46,WY,46,415,No,No,0,46,151.0,83,25.67,46,219.7,116,18.67,46,203.9,127,9.18,46,9.7,3,2.62,5,True
47,IN,47,408,No,No,0,47,175.5,67,29.84,47,249.3,85,21.19,47,270.2,98,12.16,47,10.2,3,2.75,1,False
48,CO,48,415,No,No,0,48,126.9,98,21.57,48,180.0,62,15.3,48,140.8,128,6.34,48,8.0,2,2.16,1,False
49,CO,49,408,No,Yes,30,49,198.4,129,33.73,49,75.3,77,6.4,49,181.2,77,8.15,49,5.8,3,1.57,3,True
50,OK,50,408,No,No,0,50,229.3,103,38.98,50,177.4,126,15.08,50,189.3,95,8.52,50,12.0,8,3.24,1,False
51,ID,51,408,No,No,0,51,192.1,97,32.66,51,169.9,94,14.44,51,166.6,54,7.5,51,11.4,4,3.08,1,False
52,CA,52,415,No,Yes,34,52,268.6,83,45.66,52,178.2,142,15.15,52,166.3,106,7.48,52,11.6,3,3.13,2,False
53,SD,53,408,No,Yes,28,53,180.7,92,30.72,53,187.8,64,15.96,53,265.5,53,11.95,53,12.6,3,3.4,3,False
54,NC,54,408,No,No,0,54,131.2,98,22.3,54,162.9,97,13.85,54,159.0,106,7.15,54,8.2,6,2.21,2,False
55,WA,55,415,No,Yes,41,55,148.1,74,25.18,55,169.5,88,14.41,55,214.1,102,9.63,55,6.2,5,1.67,2,False
56,WY,56,415,Yes,No,0,56,251.5,105,42.76,56,212.8,104,18.09,56,157.8,67,7.1,56,9.3,4,2.51,0,False
57,MN,57,408,Yes,No,0,57,125.2,93,21.28,57,206.4,119,17.54,57,129.3,139,5.82,57,8.3,8,2.24,0,False
58,UT,58,408,No,No,0,58,211.6,70,35.97,58,216.9,80,18.44,58,153.5,60,6.91,58,7.8,1,2.11,1,False
59,TX,59,510,No,No,0,59,178.9,101,30.41,59,169.1,110,14.37,59,148.6,100,6.69,59,13.8,3,3.73,4,True
60,NJ,60,408,No,No,0,60,241.8,93,41.11,60,170.5,83,14.49,60,295.3,104,13.29,60,11.8,7,3.19,3,False
61,MN,61,510,No,Yes,46,61,224.9,97,38.23,61,188.2,84,16.0,61,254.6,61,11.46,61,12.1,2,3.27,0,False
62,NM,62,510,No,No,0,62,248.6,83,42.26,62,148.9,85,12.66,62,172.5,109,7.76,62,8.0,4,2.16,3,False
63,NV,63,415,No,No,0,63,203.4,146,34.58,63,226.7,117,19.27,63,152.4,105,6.86,63,7.3,4,1.97,1,False
64,MN,64,415,No,No,0,64,157.1,90,26.71,64,223.3,72,18.98,64,181.4,111,8.16,64,6.1,2,1.65,1,False
65,DC,65,415,No,No,0,65,300.3,109,51.05,65,181.0,100,15.39,65,270.1,73,12.15,65,11.7,4,3.16,0,True
66,NY,66,408,No,No,0,66,61.6,117,10.47,66,77.1,85,6.55,66,173.0,99,7.79,66,8.2,7,2.21,4,True
67,MD,67,408,No,No,0,67,170.2,98,28.93,67,155.2,102,13.19,67,228.6,76,10.29,67,15.0,2,4.05,1,False
68,WV,68,415,No,No,0,68,201.1,99,34.19,68,303.5,74,25.8,68,224.0,119,10.08,68,13.2,2,3.56,1,False
69,OR,69,415,Yes,No,0,69,215.4,104,36.62,69,204.8,79,17.41,69,278.5,109,12.53,69,12.6,5,3.4,3,False
70,CO,70,408,No,Yes,25,70,165.6,123,28.15,70,136.1,95,11.57,70,175.7,90,7.91,70,11.0,2,2.97,3,False
71,GA,71,415,No,Yes,24,71,249.5,101,42.42,71,259.7,98,22.07,71,222.7,68,10.02,71,9.8,4,2.65,1,False
72,TX,72,510,No,No,0,72,210.6,96,35.8,72,249.2,85,21.18,72,191.4,88,8.61,72,12.4,1,3.35,2,True
73,IN,73,408,No,No,0,73,157.9,105,26.84,73,155.0,101,13.18,73,189.6,84,8.53,73,8.0,5,2.16,4,True
74,WV,74,510,No,No,0,74,214.3,118,36.43,74,208.5,76,17.72,74,182.4,98,8.21,74,12.0,2,3.24,1,False
75,KY,75,415,No,Yes,35,75,154.1,104,26.2,75,123.4,84,10.49,75,202.1,57,9.09,75,10.9,9,2.94,2,False
76,NJ,76,415,No,No,0,76,237.9,125,40.44,76,247.6,93,21.05,76,208.9,68,9.4,76,13.9,4,3.75,1,True
77,DC,77,510,No,No,0,77,143.9,61,24.46,77,194.9,105,16.57,77,109.6,94,4.93,77,11.1,2,3.0,1,False
78,AR,78,415,No,No,0,78,124.3,100,21.13,78,173.0,107,14.71,78,253.2,62,11.39,78,7.9,9,2.13,1,False
79,ME,79,415,No,No,0,79,252.9,93,42.99,79,178.4,112,15.16,79,263.9,105,11.88,79,9.5,7,2.57,3,False
80,AZ,80,415,No,No,0,80,179.1,71,30.45,80,190.6,81,16.2,80,127.7,91,5.75,80,10.6,7,2.86,3,False
81,AK,81,408,No,No,0,81,278.4,106,47.33,81,81.0,113,6.89,81,163.2,137,7.34,81,9.8,5,2.65,1,False
82,AZ,82,415,No,No,0,82,198.2,87,33.69,82,207.3,76,17.62,82,190.9,113,8.59,82,8.7,3,2.35,4,False
83,MS,83,408,No,No,0,83,212.1,131,36.06,83,209.4,104,17.8,83,167.2,96,7.52,83,5.3,5,1.43,1,True
84,IA,84,510,No,Yes,21,84,161.2,114,27.4,84,252.2,83,21.44,84,160.2,92,7.21,84,4.4,8,1.19,4,False
85,VT,85,415,No,No,0,85,151.7,82,25.79,85,119.0,105,10.12,85,180.0,100,8.1,85,10.5,6,2.84,0,False
86,IN,86,408,No,No,0,86,170.5,94,28.99,86,173.7,109,14.76,86,248.6,75,11.19,86,11.3,2,3.05,1,False
87,AZ,87,408,No,No,0,87,238.1,65,40.48,87,187.2,98,15.91,87,190.0,115,8.55,87,11.8,4,3.19,4,False
88,NM,88,510,No,Yes,21,88,117.9,131,20.04,88,164.5,115,13.98,88,217.0,86,9.76,88,9.8,3,2.65,1,False
89,UT,89,408,No,No,0,89,229.8,90,39.07,89,147.9,121,12.57,89,241.4,108,10.86,89,9.6,7,2.59,3,False
90,MI,90,408,No,No,0,90,165.0,100,28.05,90,317.2,83,26.96,90,119.2,86,5.36,90,8.3,8,2.24,1,False
91,MA,91,415,No,No,0,91,185.0,117,31.45,91,223.3,94,18.98,91,222.8,91,10.03,91,12.6,2,3.4,2,False
92,AL,92,408,No,No,0,92,161.0,117,27.37,92,190.9,113,16.23,92,227.7,113,10.25,92,12.1,4,3.27,4,False
93,DE,93,408,No,No,0,93,126.7,108,21.54,93,206.0,90,17.51,93,247.8,114,11.15,93,13.3,7,3.59,1,False
94,ME,94,510,Yes,Yes,42,94,196.8,89,33.46,94,254.9,122,21.67,94,138.3,126,6.22,94,20.0,6,5.4,0,True
95,NJ,95,510,No,No,0,95,162.6,83,27.64,95,152.3,109,12.95,95,57.5,122,2.59,95,14.2,3,3.83,1,False
96,NV,96,415,No,No,0,96,282.5,114,48.03,96,219.9,48,18.69,96,170.0,115,7.65,96,9.4,4,2.54,1,True
97,MO,97,510,No,Yes,36,97,113.7,117,19.33,97,157.5,82,13.39,97,177.6,118,7.99,97,10.0,3,2.7,2,False
98,NE,98,408,No,No,0,98,210.2,92,35.73,98,227.3,77,19.32,98,200.1,116,9.0,98,13.1,7,3.54,1,False
99,TX,99,408,No,Yes,22,99,213.8,102,36.35,99,141.8,86,12.05,99,142.2,123,6.4,99,7.2,3,1.94,0,False
100,MD,100,510,No,No,0,100,190.7,103,32.42,100,183.5,117,15.6,100,220.8,103,9.94,100,9.8,4,2.65,3,False
101,MS,101,415,No,No,0,101,170.9,124,29.05,101,132.3,95,11.25,101,112.9,89,5.08,101,11.6,3,3.13,1,False
102,NV,102,510,No,No,0,102,154.2,119,26.21,102,110.2,98,9.37,102,227.4,117,10.23,102,9.2,5,2.48,2,False
103,AZ,103,408,No,No,0,103,201.4,52,34.24,103,229.4,104,19.5,103,252.5,106,11.36,103,12.0,3,3.24,1,False
104,MS,104,415,No,No,0,104,70.7,108,12.02,104,157.5,87,13.39,104,154.8,82,6.97,104,9.1,3,2.46,4,True
105,MS,105,510,No,Yes,27,105,187.5,124,31.88,105,146.6,103,12.46,105,225.7,129,10.16,105,6.4,6,1.73,4,True
106,TX,106,408,No,No,0,106,91.7,90,15.59,106,193.7,123,16.46,106,175.0,86,7.88,106,9.2,4,2.48,2,False
107,NE,107,408,No,Yes,36,107,214.2,115,36.41,107,161.7,117,13.74,107,264.7,102,11.91,107,9.5,4,2.57,3,False
108,NE,108,415,No,No,0,108,145.5,92,24.74,108,217.7,114,18.5,108,146.9,123,6.61,108,10.9,2,2.94,3,False
109,NJ,109,415,No,No,0,109,231.0,115,39.27,109,230.4,140,19.58,109,261.4,120,11.76,109,9.5,3,2.57,1,False
110,TX,110,408,No,No,0,110,200.3,96,34.05,110,201.2,102,17.1,110,206.1,60,9.27,110,7.1,1,1.92,4,False
111,AR,111,408,No,No,0,111,197.0,109,33.49,111,202.6,128,17.22,111,206.4,80,9.29,111,9.1,10,2.46,1,False
112,AL,112,510,Yes,No,0,112,129.9,112,22.08,112,173.3,83,14.73,112,247.2,130,11.12,112,11.2,3,3.02,3,False
113,NY,113,415,No,Yes,21,113,175.8,97,29.89,113,217.5,106,18.49,113,237.5,134,10.69,113,5.3,4,1.43,5,False
114,FL,114,510,No,No,0,114,203.1,106,34.53,114,210.1,113,17.86,114,195.6,129,8.8,114,12.0,3,3.24,3,False
115,AK,115,510,No,Yes,36,115,183.2,117,31.14,115,126.8,76,10.78,115,263.3,71,11.85,115,11.2,8,3.02,1,False
116,NV,116,415,No,Yes,23,116,205.0,101,34.85,116,152.0,60,12.92,116,158.6,59,7.14,116,10.2,5,2.75,2,False
117,DE,117,510,No,No,0,117,148.5,115,25.25,117,276.4,84,23.49,117,193.6,112,8.71,117,12.4,3,3.35,1,False
118,MD,118,415,No,Yes,39,118,200.3,68,34.05,118,220.4,97,18.73,118,253.8,116,11.42,118,10.5,4,2.84,0,False
119,MI,119,415,No,Yes,28,119,192.6,107,32.74,119,195.5,74,16.62,119,109.7,139,4.94,119,6.8,5,1.84,3,False
120,VT,120,510,No,No,0,120,246.5,47,41.91,120,195.5,84,16.62,120,200.5,96,9.02,120,11.7,4,3.16,1,False
121,VT,121,408,Yes,No,0,121,167.1,86,28.41,121,177.5,87,15.09,121,249.4,132,11.22,121,14.1,7,3.81,2,True
122,MI,122,415,No,No,0,122,231.9,101,39.42,122,160.1,94,13.61,122,110.4,98,4.97,122,14.3,6,3.86,3,False
123,UT,123,408,Yes,No,0,123,271.5,87,46.16,123,216.3,126,18.39,123,121.1,105,5.45,123,11.7,4,3.16,1,False
124,RI,124,408,No,Yes,43,124,257.7,97,43.81,124,162.1,95,13.78,124,286.9,86,12.91,124,11.1,4,3.0,2,False
125,IA,125,408,No,No,0,125,193.8,99,32.95,125,221.4,125,18.82,125,172.3,67,7.75,125,10.6,6,2.86,1,False
126,RI,126,415,No,No,0,126,226.0,112,38.42,126,248.5,118,21.12,126,140.5,142,6.32,126,6.9,11,1.86,1,False
127,OK,127,415,No,No,0,127,260.4,115,44.27,127,146.0,46,12.41,127,269.5,87,12.13,127,11.5,4,3.11,5,False
128,LA,128,408,No,No,0,128,178.7,116,30.38,128,292.1,138,24.83,128,265.9,101,11.97,128,9.8,4,2.65,0,False
129,OH,129,415,No,No,0,129,337.4,120,57.36,129,227.4,116,19.33,129,153.9,114,6.93,129,15.8,7,4.27,0,True
130,VA,130,510,No,Yes,23,130,157.6,129,26.79,130,247.0,96,21.0,130,259.2,112,11.66,130,13.7,2,3.7,0,False
131,FL,131,510,No,Yes,24,131,142.1,124,24.16,131,183.4,129,15.59,131,164.8,114,7.42,131,9.6,4,2.59,1,False
132,SC,132,415,No,No,0,132,136.3,97,23.17,132,172.2,108,14.64,132,137.5,101,6.19,132,7.1,5,1.92,0,False
133,VA,133,415,No,No,0,133,217.1,110,36.91,133,241.5,111,20.53,133,253.5,103,11.41,133,12.0,6,3.24,0,False
134,IA,134,510,No,Yes,36,134,187.5,99,31.88,134,241.4,116,20.52,134,229.5,105,10.33,134,10.5,5,2.84,3,False
135,MI,135,415,No,No,0,135,98.9,103,16.81,135,135.4,122,11.51,135,236.6,82,10.65,135,12.2,1,3.29,1,False
136,OK,136,415,No,No,0,136,206.3,151,35.07,136,148.6,89,12.63,136,167.2,91,7.52,136,6.1,3,1.65,1,False
137,DE,137,415,No,Yes,33,137,243.1,92,41.33,137,213.8,92,18.17,137,228.7,104,10.29,137,12.1,2,3.27,2,False
138,GA,138,510,No,Yes,31,138,189.8,126,32.27,138,163.3,133,13.88,138,264.8,126,11.92,138,7.5,3,2.03,1,False
139,DC,139,415,No,No,0,139,202.0,102,34.34,139,243.2,128,20.67,139,261.3,90,11.76,139,10.9,3,2.94,1,False
140,AZ,140,408,No,Yes,38,140,170.1,124,28.92,140,193.3,116,16.43,140,105.9,73,4.77,140,12.8,4,3.46,1,False
141,CO,141,408,No,No,0,141,237.1,105,40.31,141,223.5,105,19.0,141,97.4,79,4.38,141,13.2,2,3.56,1,False
142,LA,142,408,No,No,0,142,219.2,92,37.26,142,149.4,125,12.7,142,244.7,104,11.01,142,6.1,5,1.65,0,False
143,NE,143,415,No,No,0,143,252.6,104,42.94,143,169.0,125,14.37,143,170.9,106,7.69,143,11.1,7,3.0,2,False
144,MN,144,415,No,No,0,144,147.1,91,25.01,144,190.4,107,16.18,144,195.2,115,8.78,144,12.2,3,3.29,0,False
145,AR,145,408,No,No,0,145,173.5,93,29.5,145,194.1,76,16.5,145,208.0,112,9.36,145,16.2,10,4.37,3,False
146,KS,146,408,No,No,0,146,232.1,122,39.46,146,292.3,112,24.85,146,201.2,112,9.05,146,0.0,0,0.0,3,False
147,WV,147,510,Yes,Yes,23,147,197.1,125,33.51,147,214.5,136,18.23,147,282.2,103,12.7,147,9.5,5,2.57,4,False
148,AK,148,415,No,No,0,148,58.2,94,9.89,148,138.7,118,11.79,148,136.8,91,6.16,148,11.9,1,3.21,5,True
149,NY,149,408,No,Yes,36,149,115.6,111,19.65,149,237.7,94,20.2,149,169.9,103,7.65,149,9.9,12,2.67,2,False
150,NH,150,408,No,No,0,150,186.1,98,31.64,150,254.3,57,21.62,150,214.0,127,9.63,150,14.6,7,3.94,2,False
151,VA,151,510,Yes,No,0,151,259.9,68,44.18,151,245.0,122,20.83,151,134.4,121,6.05,151,8.4,3,2.27,3,False
152,NM,152,415,No,No,0,152,214.3,145,36.43,152,268.5,135,22.82,152,241.2,92,10.85,152,10.8,13,2.92,1,False
153,NY,153,408,No,No,0,153,158.7,74,26.98,153,64.3,139,5.47,153,198.5,103,8.93,153,10.2,4,2.75,1,False
154,WY,154,510,No,No,0,154,160.6,111,27.3,154,163.2,126,13.87,154,187.1,112,8.42,154,9.0,3,2.43,1,False
155,WA,155,408,No,No,0,155,232.4,109,39.51,155,187.4,95,15.93,155,231.2,107,10.4,155,9.1,3,2.46,1,False
156,CO,156,415,No,No,0,156,133.8,85,22.75,156,180.5,94,15.34,156,112.2,115,5.05,156,8.9,4,2.4,0,False
157,TX,157,415,No,No,0,157,176.9,109,30.07,157,90.7,104,7.71,157,238.0,69,10.71,157,9.5,2,2.57,1,False
158,KY,158,408,No,No,0,158,209.9,74,35.68,158,195.1,77,16.58,158,208.2,119,9.37,158,8.8,4,2.38,2,False
159,MT,159,415,No,No,0,159,137.5,118,23.38,159,203.2,88,17.27,159,150.0,131,6.75,159,13.4,2,3.62,0,False
160,OK,160,408,No,Yes,23,160,289.5,52,49.22,160,166.6,111,14.16,160,119.1,88,5.36,160,9.5,4,2.57,1,False
161,MD,161,415,No,Yes,23,161,198.1,86,33.68,161,177.0,86,15.05,161,180.5,92,8.12,161,6.8,6,1.84,1,False
162,TN,162,415,No,No,0,162,149.7,119,25.45,162,182.2,115,15.49,162,261.5,126,11.77,162,9.7,8,2.62,0,False
163,ME,163,510,Yes,Yes,26,163,292.9,101,49.79,163,199.7,97,16.97,163,255.3,127,11.49,163,13.8,7,3.73,4,True
164,DC,164,408,No,No,0,164,83.0,64,14.11,164,177.0,106,15.05,164,245.7,89,11.06,164,13.0,3,3.51,0,False
165,MN,165,415,No,Yes,24,165,145.7,146,24.77,165,220.5,136,18.74,165,249.9,96,11.25,165,13.1,5,3.54,3,False
166,DE,166,408,No,No,0,166,182.3,101,30.99,166,328.2,93,27.9,166,245.0,131,11.03,166,11.2,1,3.02,2,False
167,MD,167,415,No,No,0,167,218.0,86,37.06,167,184.0,94,15.64,167,240.5,110,10.82,167,6.4,8,1.73,3,False
168,MI,168,510,No,No,0,168,140.6,109,23.9,168,178.6,51,15.18,168,217.0,83,9.76,168,6.8,3,1.84,2,False
169,WA,169,415,No,No,0,169,152.7,105,25.96,169,257.5,80,21.89,169,198.1,93,8.91,169,9.4,4,2.54,1,False
170,MO,170,415,No,Yes,36,170,106.7,76,18.14,170,209.8,77,17.83,170,190.4,117,8.57,170,12.1,2,3.27,1,False
171,OR,171,415,No,No,0,171,194.4,94,33.05,171,186.7,95,15.87,171,223.3,90,10.05,171,10.8,5,2.92,3,False
172,MD,172,510,No,No,0,172,213.9,95,36.36,172,151.9,70,12.91,172,260.1,124,11.7,172,12.2,5,3.29,3,False
173,RI,173,510,No,No,0,173,217.2,112,36.92,173,246.7,89,20.97,173,226.1,89,10.17,173,15.8,7,4.27,3,False
174,AZ,174,510,Yes,No,0,174,203.5,100,34.6,174,247.6,103,21.05,174,194.3,94,8.74,174,11.9,11,3.21,0,False
175,PA,175,415,No,Yes,24,175,155.2,131,26.38,175,244.5,106,20.78,175,122.4,68,5.51,175,10.7,3,2.89,1,False
176,AZ,176,408,No,Yes,31,176,167.6,139,28.49,176,113.0,118,9.61,176,246.9,121,11.11,176,12.2,6,3.29,1,False
177,FL,177,510,Yes,No,0,177,226.7,98,38.54,177,228.1,115,19.39,177,73.2,93,3.29,177,17.6,4,4.75,2,True
178,LA,178,415,No,No,0,178,179.3,93,30.48,178,178.6,98,15.18,178,225.2,131,10.13,178,11.5,6,3.11,3,False
179,FL,179,415,No,No,0,179,151.4,89,25.74,179,186.4,76,15.84,179,172.5,120,7.76,179,10.9,3,2.94,0,False
180,FL,180,415,No,No,0,180,180.0,80,30.6,180,224.2,82,19.06,180,265.4,91,11.94,180,4.7,7,1.27,3,False
181,MD,181,415,No,No,0,181,250.2,121,42.53,181,267.1,118,22.7,181,151.0,114,6.8,181,13.0,2,3.51,1,True
182,AL,182,415,No,No,0,182,223.0,121,37.91,182,110.1,98,9.36,182,188.7,107,8.49,182,7.1,12,1.92,0,False
183,WA,183,415,No,No,0,183,183.6,116,31.21,183,152.6,98,12.97,183,212.2,99,9.55,183,12.2,6,3.29,3,False
184,TN,184,408,No,Yes,22,184,166.0,114,28.22,184,174.5,103,14.83,184,244.9,68,11.02,184,10.2,6,2.75,1,False
185,ME,185,408,No,No,0,185,149.3,113,25.38,185,242.2,122,20.59,185,174.3,104,7.84,185,8.9,6,2.4,2,False
186,OK,186,408,No,No,0,186,65.4,97,11.12,186,168.2,76,14.3,186,236.0,113,10.62,186,13.8,1,3.73,2,False
187,MO,187,415,No,No,0,187,206.9,85,35.17,187,244.7,78,20.8,187,221.5,136,9.97,187,7.7,2,2.08,3,False
188,IA,188,408,No,Yes,27,188,186.2,78,31.65,188,189.6,83,16.12,188,76.5,139,3.44,188,9.6,3,2.59,2,False
189,VA,189,415,No,Yes,23,189,280.2,136,47.63,189,220.5,92,18.74,189,136.9,102,6.16,189,13.3,3,3.59,4,False
190,MD,190,408,Yes,No,0,190,312.0,109,53.04,190,129.4,100,11.0,190,217.6,74,9.79,190,10.5,2,2.84,0,True
191,OH,191,415,Yes,Yes,36,191,199.0,110,33.83,191,291.3,111,24.76,191,197.6,92,8.89,191,11.0,6,2.97,1,False
192,OK,192,415,No,No,0,192,203.1,96,34.53,192,217.0,126,18.45,192,180.9,122,8.14,192,13.5,2,3.65,3,False
193,NV,193,415,No,No,0,193,168.8,97,28.7,193,220.3,87,18.73,193,154.3,113,6.94,193,10.9,2,2.94,0,False
194,ID,194,415,Yes,No,0,194,173.1,140,29.43,194,240.3,105,20.43,194,233.2,117,10.49,194,9.0,5,2.43,1,False
195,SD,195,408,No,Yes,40,195,202.6,103,34.44,195,118.8,128,10.1,195,234.9,98,10.57,195,9.0,9,2.43,2,False
196,IL,196,408,No,No,0,196,74.5,117,12.67,196,200.8,98,17.07,196,192.2,101,8.65,196,9.8,7,2.65,3,False
197,AL,197,415,No,No,0,197,192.2,86,32.67,197,168.6,116,14.33,197,139.8,87,6.29,197,9.4,6,2.54,1,False
198,NJ,198,510,No,No,0,198,220.2,89,37.43,198,88.3,125,7.51,198,195.3,79,8.79,198,12.9,5,3.48,0,False
199,NV,199,415,Yes,No,0,199,135.1,95,22.97,199,134.1,102,11.4,199,223.1,81,10.04,199,12.3,2,3.32,2,True
200,IN,200,415,No,No,0,200,253.4,77,43.08,200,182.4,151,15.5,200,275.8,103,12.41,200,8.4,2,2.27,1,False
